Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 2 	 15																																																																												0.293598	0.000000	0.097866	0.000000	0.000000	0.587195																																																																																						-0.978659	
 2 	 16																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 2 	 17																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 2 	 18																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 2 	 19																																																																												0.161317	0.000000	0.053772	0.000000	0.000000	0.322635																																																																																						-0.537724	
 2 	 20																																																																												0.120988	0.000000	0.040329	0.000000	0.000000	0.241976																																																																																						-0.403293	
 2 	 21																																																																												0.080659	0.000000	0.026886	0.000000	0.000000	0.161317																																																																																						-0.268862	
 2 	 22																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 2 	 23																																																																												0.032263	0.000000	0.010754	0.000000	0.000000	0.064527																																																																																						-0.107545	
 2 	 24																																																																												0.012905	0.000000	0.004302	0.000000	0.000000	0.025811																																																																																						-0.043018	
 3 	 1																																																																												0.008066	0.000000	0.002689	0.000000	0.000000	0.016132																																																																																						-0.026886	
 3 	 2																																																																												0.003226	0.000000	0.001075	0.000000	0.000000	0.006453																																																																																						-0.010754	
 3 	 3																																																																												0.001613	0.000000	0.000538	0.000000	0.000000	0.003226																																																																																						-0.005377	
 3 	 4																																																																												0.019358	0.000000	0.006453	0.000000	0.000000	0.038716																																																																																						-0.064527	
 3 	 5																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 3 	 6																																																																												0.129054	0.000000	0.043018	0.000000	0.000000	0.258108																																																																																						-0.430179	
 3 	 7																																																																												0.250042	0.000000	0.083347	0.000000	0.000000	0.500083																																																																																						-0.833472	
 3 	 8																																																																												0.217778	0.000000	0.072593	0.000000	0.000000	0.435556																																																																																						-0.725926	
 3 	 9																																																																												0.201647	0.000000	0.067216	0.000000	0.000000	0.403293																																																																																						-0.672155	
 3 	 10																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 3 	 11																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 3 	 12																																																																												0.283919	0.000000	0.094640	0.000000	0.000000	0.567837																																																																																						-0.946395	
 3 	 13																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 3 	 14																																																																												0.261334	0.000000	0.087111	0.000000	0.000000	0.522668																																																																																						-0.871113	
 3 	 15																																																																												0.293598	0.000000	0.097866	0.000000	0.000000	0.587195																																																																																						-0.978659	
 3 	 16																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 3 	 17																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 3 	 18																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 3 	 19																																																																												0.161317	0.000000	0.053772	0.000000	0.000000	0.322635																																																																																						-0.537724	
 3 	 20																																																																												0.120988	0.000000	0.040329	0.000000	0.000000	0.241976																																																																																						-0.403293	
 3 	 21																																																																												0.080659	0.000000	0.026886	0.000000	0.000000	0.161317																																																																																						-0.268862	
 3 	 22																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 3 	 23																																																																												0.032263	0.000000	0.010754	0.000000	0.000000	0.064527																																																																																						-0.107545	
 3 	 24																																																																												0.012905	0.000000	0.004302	0.000000	0.000000	0.025811																																																																																						-0.043018	
 4 	 1																																																																												0.008066	0.000000	0.002689	0.000000	0.000000	0.016132																																																																																						-0.026886	
 4 	 2																																																																												0.003226	0.000000	0.001075	0.000000	0.000000	0.006453																																																																																						-0.010754	
 4 	 3																																																																												0.001613	0.000000	0.000538	0.000000	0.000000	0.003226																																																																																						-0.005377	
 4 	 4																																																																												0.019358	0.000000	0.006453	0.000000	0.000000	0.038716																																																																																						-0.064527	
 4 	 5																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 4 	 6																																																																												0.129054	0.000000	0.043018	0.000000	0.000000	0.258108																																																																																						-0.430179	
 4 	 7																																																																												0.250042	0.000000	0.083347	0.000000	0.000000	0.500083																																																																																						-0.833472	
 4 	 8																																																																												0.217778	0.000000	0.072593	0.000000	0.000000	0.435556																																																																																						-0.725926	
 4 	 9																																																																												0.201647	0.000000	0.067216	0.000000	0.000000	0.403293																																																																																						-0.672155	
 4 	 10																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 4 	 11																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 4 	 12																																																																												0.283919	0.000000	0.094640	0.000000	0.000000	0.567837																																																																																						-0.946395	
 4 	 13																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 4 	 14																																																																												0.261334	0.000000	0.087111	0.000000	0.000000	0.522668																																																																																						-0.871113	
 4 	 15																																																																												0.293598	0.000000	0.097866	0.000000	0.000000	0.587195																																																																																						-0.978659	
 4 	 16																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 4 	 17																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 4 	 18																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 4 	 19																																																																												0.161317	0.000000	0.053772	0.000000	0.000000	0.322635																																																																																						-0.537724	
 4 	 20																																																																												0.120988	0.000000	0.040329	0.000000	0.000000	0.241976																																																																																						-0.403293	
 4 	 21																																																																												0.080659	0.000000	0.026886	0.000000	0.000000	0.161317																																																																																						-0.268862	
 4 	 22																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 4 	 23																																																																												0.032263	0.000000	0.010754	0.000000	0.000000	0.064527																																																																																						-0.107545	
 4 	 24																																																																												0.012905	0.000000	0.004302	0.000000	0.000000	0.025811																																																																																						-0.043018	
 5 	 1																																																																												0.008066	0.000000	0.002689	0.000000	0.000000	0.016132																																																																																						-0.026886	
 5 	 2																																																																												0.003226	0.000000	0.001075	0.000000	0.000000	0.006453																																																																																						-0.010754	
 5 	 3																																																																												0.001613	0.000000	0.000538	0.000000	0.000000	0.003226																																																																																						-0.005377	
 5 	 4																																																																												0.019358	0.000000	0.006453	0.000000	0.000000	0.038716																																																																																						-0.064527	
 5 	 5																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 5 	 6																																																																												0.129054	0.000000	0.043018	0.000000	0.000000	0.258108																																																																																						-0.430179	
 5 	 7																																																																												0.250042	0.000000	0.083347	0.000000	0.000000	0.500083																																																																																						-0.833472	
 5 	 8																																																																												0.217778	0.000000	0.072593	0.000000	0.000000	0.435556																																																																																						-0.725926	
 5 	 9																																																																												0.201647	0.000000	0.067216	0.000000	0.000000	0.403293																																																																																						-0.672155	
 5 	 10																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 5 	 11																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 5 	 12																																																																												0.283919	0.000000	0.094640	0.000000	0.000000	0.567837																																																																																						-0.946395	
 5 	 13																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 5 	 14																																																																												0.261334	0.000000	0.087111	0.000000	0.000000	0.522668																																																																																						-0.871113	
 5 	 15																																																																												0.293598	0.000000	0.097866	0.000000	0.000000	0.587195																																																																																						-0.978659	
 5 	 16																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 5 	 17																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 5 	 18																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 5 	 19																																																																												0.161317	0.000000	0.053772	0.000000	0.000000	0.322635																																																																																						-0.537724	
 5 	 20																																																																												0.120988	0.000000	0.040329	0.000000	0.000000	0.241976																																																																																						-0.403293	
 5 	 21																																																																												0.080659	0.000000	0.026886	0.000000	0.000000	0.161317																																																																																						-0.268862	
 5 	 22																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 5 	 23																																																																												0.032263	0.000000	0.010754	0.000000	0.000000	0.064527																																																																																						-0.107545	
 5 	 24																																																																												0.012905	0.000000	0.004302	0.000000	0.000000	0.025811																																																																																						-0.043018	
 6 	 1																																																																												0.008066	0.000000	0.002689	0.000000	0.000000	0.016132																																																																																						-0.026886	
 6 	 2																																																																												0.003226	0.000000	0.001075	0.000000	0.000000	0.006453																																																																																						-0.010754	
 6 	 3																																																																												0.001613	0.000000	0.000538	0.000000	0.000000	0.003226																																																																																						-0.005377	
 6 	 4																																																																												0.019358	0.000000	0.006453	0.000000	0.000000	0.038716																																																																																						-0.064527	
 6 	 5																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 6 	 6																																																																												0.129054	0.000000	0.043018	0.000000	0.000000	0.258108																																																																																						-0.430179	
 6 	 7																																																																												0.250042	0.000000	0.083347	0.000000	0.000000	0.500083																																																																																						-0.833472	
 6 	 8																																																																												0.217778	0.000000	0.072593	0.000000	0.000000	0.435556																																																																																						-0.725926	
 6 	 9																																																																												0.201647	0.000000	0.067216	0.000000	0.000000	0.403293																																																																																						-0.672155	
 6 	 10																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 6 	 11																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 6 	 12																																																																												0.283919	0.000000	0.094640	0.000000	0.000000	0.567837																																																																																						-0.946395	
 6 	 13																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 6 	 14																																																																												0.261334	0.000000	0.087111	0.000000	0.000000	0.522668																																																																																						-0.871113	
 6 	 15																																																																												0.293598	0.000000	0.097866	0.000000	0.000000	0.587195																																																																																						-0.978659	
 6 	 16																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 6 	 17																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 6 	 18																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 6 	 19																																																																												0.161317	0.000000	0.053772	0.000000	0.000000	0.322635																																																																																						-0.537724	
 6 	 20																																																																												0.120988	0.000000	0.040329	0.000000	0.000000	0.241976																																																																																						-0.403293	
 6 	 21																																																																												0.080659	0.000000	0.026886	0.000000	0.000000	0.161317																																																																																						-0.268862	
 6 	 22																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 6 	 23																																																																												0.032263	0.000000	0.010754	0.000000	0.000000	0.064527																																																																																						-0.107545	
 6 	 24																																																																												0.012905	0.000000	0.004302	0.000000	0.000000	0.025811																																																																																						-0.043018	
 7 	 1																																																																												0.008066	0.000000	0.002689	0.000000	0.000000	0.016132																																																																																						-0.026886	
 7 	 2																																																																												0.003226	0.000000	0.001075	0.000000	0.000000	0.006453																																																																																						-0.010754	
 7 	 3																																																																												0.001613	0.000000	0.000538	0.000000	0.000000	0.003226																																																																																						-0.005377	
 7 	 4																																																																												0.019358	0.000000	0.006453	0.000000	0.000000	0.038716																																																																																						-0.064527	
 7 	 5																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 7 	 6																																																																												0.129054	0.000000	0.043018	0.000000	0.000000	0.258108																																																																																						-0.430179	
 7 	 7																																																																												0.250042	0.000000	0.083347	0.000000	0.000000	0.500083																																																																																						-0.833472	
 7 	 8																																																																												0.217778	0.000000	0.072593	0.000000	0.000000	0.435556																																																																																						-0.725926	
 7 	 9																																																																												0.201647	0.000000	0.067216	0.000000	0.000000	0.403293																																																																																						-0.672155	
 7 	 10																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 7 	 11																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 7 	 12																																																																												0.283919	0.000000	0.094640	0.000000	0.000000	0.567837																																																																																						-0.946395	
 7 	 13																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 7 	 14																																																																												0.261334	0.000000	0.087111	0.000000	0.000000	0.522668																																																																																						-0.871113	
 7 	 15																																																																												0.293598	0.000000	0.097866	0.000000	0.000000	0.587195																																																																																						-0.978659	
 7 	 16																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 7 	 17																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 7 	 18																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 7 	 19																																																																												0.161317	0.000000	0.053772	0.000000	0.000000	0.322635																																																																																						-0.537724	
 7 	 20																																																																												0.120988	0.000000	0.040329	0.000000	0.000000	0.241976																																																																																						-0.403293	
 7 	 21																																																																												0.080659	0.000000	0.026886	0.000000	0.000000	0.161317																																																																																						-0.268862	
 7 	 22																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 7 	 23																																																																												0.032263	0.000000	0.010754	0.000000	0.000000	0.064527																																																																																						-0.107545	
 7 	 24																																																																												0.012905	0.000000	0.004302	0.000000	0.000000	0.025811																																																																																						-0.043018	
 8 	 1																																																																												0.008066	0.000000	0.002689	0.000000	0.000000	0.016132																																																																																						-0.026886	
 8 	 2																																																																												0.003226	0.000000	0.001075	0.000000	0.000000	0.006453																																																																																						-0.010754	
 8 	 3																																																																												0.001613	0.000000	0.000538	0.000000	0.000000	0.003226																																																																																						-0.005377	
 8 	 4																																																																												0.019358	0.000000	0.006453	0.000000	0.000000	0.038716																																																																																						-0.064527	
 8 	 5																																																																												0.051622	0.000000	0.017207	0.000000	0.000000	0.103243																																																																																						-0.172072	
 8 	 6																																																																												0.129054	0.000000	0.043018	0.000000	0.000000	0.258108																																																																																						-0.430179	
 8 	 7																																																																												0.250042	0.000000	0.083347	0.000000	0.000000	0.500083																																																																																						-0.833472	
 8 	 8																																																																												0.217778	0.000000	0.072593	0.000000	0.000000	0.435556																																																																																						-0.725926	
 8 	 9																																																																												0.201647	0.000000	0.067216	0.000000	0.000000	0.403293																																																																																						-0.672155	
 8 	 10																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
 8 	 11																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 8 	 12																																																																												0.283919	0.000000	0.094640	0.000000	0.000000	0.567837																																																																																						-0.946395	
 8 	 13																																																																												0.258107	0.000000	0.086036	0.000000	0.000000	0.516214																																																																																						-0.860357	
 8 	 14																																																																												0.261334	0.000000	0.087111	0.000000	0.000000	0.522668																																																																																						-0.871113	
 8 	 15																																																																												0.293598	0.000000	0.097866	0.000000	0.000000	0.587195																																																																																						-0.978659	
 8 	 16																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 8 	 17																																																																												0.306503	0.000000	0.102168	0.000000	0.000000	0.613007																																																																																						-1.021678	
 8 	 18																																																																												0.225845	0.000000	0.075282	0.000000	0.000000	0.451689																																																																																						-0.752816	
