Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 12 	 8																																																																												4.591557	0.000000	1.530519	0.000000	0.000000	9.183114																																																																																						-15.305189	
 12 	 9																																																																												4.251452	0.000000	1.417151	0.000000	0.000000	8.502905																																																																																						-14.171507	
 12 	 10																																																																												4.761638	0.000000	1.587213	0.000000	0.000000	9.523276																																																																																						-15.872127	
 12 	 11																																																																												5.441847	0.000000	1.813949	0.000000	0.000000	10.883695																																																																																						-18.139491	
 12 	 12																																																																												5.986049	0.000000	1.995350	0.000000	0.000000	11.972099																																																																																						-19.953498	
 12 	 13																																																																												5.441847	0.000000	1.813949	0.000000	0.000000	10.883695																																																																																						-18.139491	
 12 	 14																																																																												5.509880	0.000000	1.836627	0.000000	0.000000	11.019760																																																																																						-18.366266	
 12 	 15																																																																												6.190118	0.000000	2.063373	0.000000	0.000000	12.380236																																																																																						-20.633726	
 12 	 16																																																																												6.462219	0.000000	2.154073	0.000000	0.000000	12.924438																																																																																						-21.540730	
 12 	 17																																																																												6.462219	0.000000	2.154073	0.000000	0.000000	12.924438																																																																																						-21.540730	
 12 	 18																																																																												4.761638	0.000000	1.587213	0.000000	0.000000	9.523276																																																																																						-15.872127	
 12 	 19																																																																												3.401162	0.000000	1.133721	0.000000	0.000000	6.802324																																																																																						-11.337206	
 12 	 20																																																																												2.550871	0.000000	0.850290	0.000000	0.000000	5.101743																																																																																						-8.502904	
 12 	 21																																																																												1.700581	0.000000	0.566860	0.000000	0.000000	3.401162																																																																																						-5.668603	
 12 	 22																																																																												1.088372	0.000000	0.362791	0.000000	0.000000	2.176745																																																																																						-3.627908	
 12 	 23																																																																												0.680232	0.000000	0.226744	0.000000	0.000000	1.360465																																																																																						-2.267441	
 12 	 24																																																																												0.272093	0.000000	0.090698	0.000000	0.000000	0.544186																																																																																						-0.906976	
