Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 2 	 15																																																																												4.810973	0.000000	1.603657	0.000000	0.000000	9.621945																																																																																						-16.036575	
 2 	 16																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 2 	 17																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 2 	 18																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 2 	 19																																																																												2.643390	0.000000	0.881130	0.000000	0.000000	5.286780																																																																																						-8.811300	
 2 	 20																																																																												1.982543	0.000000	0.660847	0.000000	0.000000	3.965085																																																																																						-6.608475	
 2 	 21																																																																												1.321695	0.000000	0.440565	0.000000	0.000000	2.643390																																																																																						-4.405650	
 2 	 22																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 2 	 23																																																																												0.528678	0.000000	0.176226	0.000000	0.000000	1.057356																																																																																						-1.762260	
 2 	 24																																																																												0.211471	0.000000	0.070490	0.000000	0.000000	0.422942																																																																																						-0.704904	
 3 	 1																																																																												0.132170	0.000000	0.044056	0.000000	0.000000	0.264339																																																																																						-0.440565	
 3 	 2																																																																												0.052868	0.000000	0.017623	0.000000	0.000000	0.105736																																																																																						-0.176226	
 3 	 3																																																																												0.026434	0.000000	0.008811	0.000000	0.000000	0.052868																																																																																						-0.088113	
 3 	 4																																																																												0.317207	0.000000	0.105736	0.000000	0.000000	0.634415																																																																																						-1.057357	
 3 	 5																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 3 	 6																																																																												2.114712	0.000000	0.704904	0.000000	0.000000	4.229424																																																																																						-7.049040	
 3 	 7																																																																												4.097250	0.000000	1.365750	0.000000	0.000000	8.194500																																																																																						-13.657500	
 3 	 8																																																																												3.568568	0.000000	1.189522	0.000000	0.000000	7.137135																																																																																						-11.895225	
 3 	 9																																																																												3.304238	0.000000	1.101412	0.000000	0.000000	6.608475																																																																																						-11.014125	
 3 	 10																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 3 	 11																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 3 	 12																																																																												4.652370	0.000000	1.550790	0.000000	0.000000	9.304740																																																																																						-15.507900	
 3 	 13																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 3 	 14																																																																												4.282290	0.000000	1.427430	0.000000	0.000000	8.564580																																																																																						-14.274300	
 3 	 15																																																																												4.810973	0.000000	1.603657	0.000000	0.000000	9.621945																																																																																						-16.036575	
 3 	 16																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 3 	 17																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 3 	 18																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 3 	 19																																																																												2.643390	0.000000	0.881130	0.000000	0.000000	5.286780																																																																																						-8.811300	
 3 	 20																																																																												1.982543	0.000000	0.660847	0.000000	0.000000	3.965085																																																																																						-6.608475	
 3 	 21																																																																												1.321695	0.000000	0.440565	0.000000	0.000000	2.643390																																																																																						-4.405650	
 3 	 22																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 3 	 23																																																																												0.528678	0.000000	0.176226	0.000000	0.000000	1.057356																																																																																						-1.762260	
 3 	 24																																																																												0.211471	0.000000	0.070490	0.000000	0.000000	0.422942																																																																																						-0.704904	
 4 	 1																																																																												0.132170	0.000000	0.044056	0.000000	0.000000	0.264339																																																																																						-0.440565	
 4 	 2																																																																												0.052868	0.000000	0.017623	0.000000	0.000000	0.105736																																																																																						-0.176226	
 4 	 3																																																																												0.026434	0.000000	0.008811	0.000000	0.000000	0.052868																																																																																						-0.088113	
 4 	 4																																																																												0.317207	0.000000	0.105736	0.000000	0.000000	0.634415																																																																																						-1.057357	
 4 	 5																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 4 	 6																																																																												2.114712	0.000000	0.704904	0.000000	0.000000	4.229424																																																																																						-7.049040	
 4 	 7																																																																												4.097250	0.000000	1.365750	0.000000	0.000000	8.194500																																																																																						-13.657500	
 4 	 8																																																																												3.568568	0.000000	1.189522	0.000000	0.000000	7.137135																																																																																						-11.895225	
 4 	 9																																																																												3.304238	0.000000	1.101412	0.000000	0.000000	6.608475																																																																																						-11.014125	
 4 	 10																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 4 	 11																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 4 	 12																																																																												4.652370	0.000000	1.550790	0.000000	0.000000	9.304740																																																																																						-15.507900	
 4 	 13																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 4 	 14																																																																												4.282290	0.000000	1.427430	0.000000	0.000000	8.564580																																																																																						-14.274300	
 4 	 15																																																																												4.810973	0.000000	1.603657	0.000000	0.000000	9.621945																																																																																						-16.036575	
 4 	 16																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 4 	 17																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 4 	 18																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 4 	 19																																																																												2.643390	0.000000	0.881130	0.000000	0.000000	5.286780																																																																																						-8.811300	
 4 	 20																																																																												1.982543	0.000000	0.660847	0.000000	0.000000	3.965085																																																																																						-6.608475	
 4 	 21																																																																												1.321695	0.000000	0.440565	0.000000	0.000000	2.643390																																																																																						-4.405650	
 4 	 22																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 4 	 23																																																																												0.528678	0.000000	0.176226	0.000000	0.000000	1.057356																																																																																						-1.762260	
 4 	 24																																																																												0.211471	0.000000	0.070490	0.000000	0.000000	0.422942																																																																																						-0.704904	
 5 	 1																																																																												0.132170	0.000000	0.044056	0.000000	0.000000	0.264339																																																																																						-0.440565	
 5 	 2																																																																												0.052868	0.000000	0.017623	0.000000	0.000000	0.105736																																																																																						-0.176226	
 5 	 3																																																																												0.026434	0.000000	0.008811	0.000000	0.000000	0.052868																																																																																						-0.088113	
 5 	 4																																																																												0.317207	0.000000	0.105736	0.000000	0.000000	0.634415																																																																																						-1.057357	
 5 	 5																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 5 	 6																																																																												2.114712	0.000000	0.704904	0.000000	0.000000	4.229424																																																																																						-7.049040	
 5 	 7																																																																												4.097250	0.000000	1.365750	0.000000	0.000000	8.194500																																																																																						-13.657500	
 5 	 8																																																																												3.568568	0.000000	1.189522	0.000000	0.000000	7.137135																																																																																						-11.895225	
 5 	 9																																																																												3.304238	0.000000	1.101412	0.000000	0.000000	6.608475																																																																																						-11.014125	
 5 	 10																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 5 	 11																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 5 	 12																																																																												4.652370	0.000000	1.550790	0.000000	0.000000	9.304740																																																																																						-15.507900	
 5 	 13																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 5 	 14																																																																												4.282290	0.000000	1.427430	0.000000	0.000000	8.564580																																																																																						-14.274300	
 5 	 15																																																																												4.810973	0.000000	1.603657	0.000000	0.000000	9.621945																																																																																						-16.036575	
 5 	 16																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 5 	 17																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 5 	 18																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 5 	 19																																																																												2.643390	0.000000	0.881130	0.000000	0.000000	5.286780																																																																																						-8.811300	
 5 	 20																																																																												1.982543	0.000000	0.660847	0.000000	0.000000	3.965085																																																																																						-6.608475	
 5 	 21																																																																												1.321695	0.000000	0.440565	0.000000	0.000000	2.643390																																																																																						-4.405650	
 5 	 22																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 5 	 23																																																																												0.528678	0.000000	0.176226	0.000000	0.000000	1.057356																																																																																						-1.762260	
 5 	 24																																																																												0.211471	0.000000	0.070490	0.000000	0.000000	0.422942																																																																																						-0.704904	
 6 	 1																																																																												0.132170	0.000000	0.044056	0.000000	0.000000	0.264339																																																																																						-0.440565	
 6 	 2																																																																												0.052868	0.000000	0.017623	0.000000	0.000000	0.105736																																																																																						-0.176226	
 6 	 3																																																																												0.026434	0.000000	0.008811	0.000000	0.000000	0.052868																																																																																						-0.088113	
 6 	 4																																																																												0.317207	0.000000	0.105736	0.000000	0.000000	0.634415																																																																																						-1.057357	
 6 	 5																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 6 	 6																																																																												2.114712	0.000000	0.704904	0.000000	0.000000	4.229424																																																																																						-7.049040	
 6 	 7																																																																												4.097250	0.000000	1.365750	0.000000	0.000000	8.194500																																																																																						-13.657500	
 6 	 8																																																																												3.568568	0.000000	1.189522	0.000000	0.000000	7.137135																																																																																						-11.895225	
 6 	 9																																																																												3.304238	0.000000	1.101412	0.000000	0.000000	6.608475																																																																																						-11.014125	
 6 	 10																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 6 	 11																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 6 	 12																																																																												4.652370	0.000000	1.550790	0.000000	0.000000	9.304740																																																																																						-15.507900	
 6 	 13																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 6 	 14																																																																												4.282290	0.000000	1.427430	0.000000	0.000000	8.564580																																																																																						-14.274300	
 6 	 15																																																																												4.810973	0.000000	1.603657	0.000000	0.000000	9.621945																																																																																						-16.036575	
 6 	 16																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 6 	 17																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 6 	 18																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 6 	 19																																																																												2.643390	0.000000	0.881130	0.000000	0.000000	5.286780																																																																																						-8.811300	
 6 	 20																																																																												1.982543	0.000000	0.660847	0.000000	0.000000	3.965085																																																																																						-6.608475	
 6 	 21																																																																												1.321695	0.000000	0.440565	0.000000	0.000000	2.643390																																																																																						-4.405650	
 6 	 22																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 6 	 23																																																																												0.528678	0.000000	0.176226	0.000000	0.000000	1.057356																																																																																						-1.762260	
 6 	 24																																																																												0.211471	0.000000	0.070490	0.000000	0.000000	0.422942																																																																																						-0.704904	
 7 	 1																																																																												0.132170	0.000000	0.044056	0.000000	0.000000	0.264339																																																																																						-0.440565	
 7 	 2																																																																												0.052868	0.000000	0.017623	0.000000	0.000000	0.105736																																																																																						-0.176226	
 7 	 3																																																																												0.026434	0.000000	0.008811	0.000000	0.000000	0.052868																																																																																						-0.088113	
 7 	 4																																																																												0.317207	0.000000	0.105736	0.000000	0.000000	0.634415																																																																																						-1.057357	
 7 	 5																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 7 	 6																																																																												2.114712	0.000000	0.704904	0.000000	0.000000	4.229424																																																																																						-7.049040	
 7 	 7																																																																												4.097250	0.000000	1.365750	0.000000	0.000000	8.194500																																																																																						-13.657500	
 7 	 8																																																																												3.568568	0.000000	1.189522	0.000000	0.000000	7.137135																																																																																						-11.895225	
 7 	 9																																																																												3.304238	0.000000	1.101412	0.000000	0.000000	6.608475																																																																																						-11.014125	
 7 	 10																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 7 	 11																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 7 	 12																																																																												4.652370	0.000000	1.550790	0.000000	0.000000	9.304740																																																																																						-15.507900	
 7 	 13																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 7 	 14																																																																												4.282290	0.000000	1.427430	0.000000	0.000000	8.564580																																																																																						-14.274300	
 7 	 15																																																																												4.810973	0.000000	1.603657	0.000000	0.000000	9.621945																																																																																						-16.036575	
 7 	 16																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 7 	 17																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 7 	 18																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 7 	 19																																																																												2.643390	0.000000	0.881130	0.000000	0.000000	5.286780																																																																																						-8.811300	
 7 	 20																																																																												1.982543	0.000000	0.660847	0.000000	0.000000	3.965085																																																																																						-6.608475	
 7 	 21																																																																												1.321695	0.000000	0.440565	0.000000	0.000000	2.643390																																																																																						-4.405650	
 7 	 22																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 7 	 23																																																																												0.528678	0.000000	0.176226	0.000000	0.000000	1.057356																																																																																						-1.762260	
 7 	 24																																																																												0.211471	0.000000	0.070490	0.000000	0.000000	0.422942																																																																																						-0.704904	
 8 	 1																																																																												0.132170	0.000000	0.044056	0.000000	0.000000	0.264339																																																																																						-0.440565	
 8 	 2																																																																												0.052868	0.000000	0.017623	0.000000	0.000000	0.105736																																																																																						-0.176226	
 8 	 3																																																																												0.026434	0.000000	0.008811	0.000000	0.000000	0.052868																																																																																						-0.088113	
 8 	 4																																																																												0.317207	0.000000	0.105736	0.000000	0.000000	0.634415																																																																																						-1.057357	
 8 	 5																																																																												0.845885	0.000000	0.281962	0.000000	0.000000	1.691771																																																																																						-2.819618	
 8 	 6																																																																												2.114712	0.000000	0.704904	0.000000	0.000000	4.229424																																																																																						-7.049040	
 8 	 7																																																																												4.097250	0.000000	1.365750	0.000000	0.000000	8.194500																																																																																						-13.657500	
 8 	 8																																																																												3.568568	0.000000	1.189522	0.000000	0.000000	7.137135																																																																																						-11.895225	
 8 	 9																																																																												3.304238	0.000000	1.101412	0.000000	0.000000	6.608475																																																																																						-11.014125	
 8 	 10																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
 8 	 11																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 8 	 12																																																																												4.652370	0.000000	1.550790	0.000000	0.000000	9.304740																																																																																						-15.507900	
 8 	 13																																																																												4.229415	0.000000	1.409805	0.000000	0.000000	8.458830																																																																																						-14.098050	
 8 	 14																																																																												4.282290	0.000000	1.427430	0.000000	0.000000	8.564580																																																																																						-14.274300	
 8 	 15																																																																												4.810973	0.000000	1.603657	0.000000	0.000000	9.621945																																																																																						-16.036575	
 8 	 16																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 8 	 17																																																																												5.022450	0.000000	1.674150	0.000000	0.000000	10.044900																																																																																						-16.741500	
 8 	 18																																																																												3.700755	0.000000	1.233585	0.000000	0.000000	7.401510																																																																																						-12.335850	
